P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion
a,a,a,a,a,a,d,a,a,a,a,a,a,a,d,a,a,b,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,e,a,Ingeniería de Software,5
a,a,b,a,a,a,e,a,a,a,d,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,d,a,a,a,d,a,d,a,a,a,a,Ingeniería de Software,5
d,a,a,d,a,a,a,a,a,a,a,a,a,d,a,a,d,a,a,a,Ingeniería de Software,5
a,a,a,b,a,a,e,a,a,a,d,a,d,a,a,a,a,a,a,a,Ingeniería de Software,4
a,d,c,a,a,a,c,a,a,a,a,a,a,d,a,a,a,d,a,a,Ingeniería de Software,4
a,a,d,a,a,a,a,a,a,a,d,a,a,d,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,d,a,a,a,a,a,a,a,a,b,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,b,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,d,a,a,a,a,a,a,a,a,d,a,a,a,a,a,Ingeniería de Software,4
a,a,d,a,a,a,a,a,a,a,d,a,a,d,a,d,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,e,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,d,a,a,d,a,a,a,a,a,c,a,a,Ingeniería de Software,5
a,a,a,a,d,a,a,a,a,d,a,d,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,d,b,a,a,a,a,a,d,a,a,a,a,d,Ingeniería de Software,5
a,d,a,d,a,a,a,a,a,a,a,a,e,a,d,a,a,a,a,a,Ingeniería de Software,5
a,a,e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,Ingeniería de Software,5
a,a,a,a,a,d,a,a,a,a,d,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,e,a,a,d,a,d,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,c,a,a,a,a,a,a,a,a,a,c,c,a,a,d,a,a,a,Ingeniería de Software,4
a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,d,a,a,e,a,a,c,a,a,a,a,a,a,Ingeniería de Software,4
a,d,a,a,a,e,a,a,a,a,a,d,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,a,d,e,a,a,a,a,d,a,a,a,e,c,a,a,a,a,a,a,Ingeniería de Software,5
a,d,a,d,a,a,a,d,a,a,a,a,d,a,d,a,a,d,d,a,Ingeniería de Software,5
b,d,d,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,e,a,a,e,a,a,a,a,a,a,a,a,a,e,a,d,Ingeniería de Software,4
c,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,Ingeniería de Software,5
a,a,d,a,a,a,a,a,d,c,d,a,a,a,a,a,a,a,a,d,Ingeniería de Software,5
a,a,a,a,a,a,a,a,b,a,e,d,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,d,a,a,a,a,a,a,d,a,a,a,a,a,d,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,c,a,d,a,a,a,d,d,a,a,Ingeniería de Software,5
e,a,a,a,a,a,a,a,d,a,a,d,d,a,a,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,a,a,a,e,a,d,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,a,a,e,a,d,a,a,a,a,a,a,a,a,a,a,d,a,Ingeniería de Software,5
a,a,d,a,a,a,a,a,c,a,a,a,a,d,a,a,d,c,a,a,Ingeniería de Software,4
a,a,a,e,a,a,a,b,a,a,a,a,a,a,d,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,b,a,a,a,Ingeniería de Software,5
a,a,d,a,a,e,a,a,d,a,a,d,a,b,a,a,a,a,a,e,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,d,a,d,e,a,Ingeniería de Software,5
d,a,a,a,a,a,a,d,a,a,a,a,a,a,d,a,d,a,a,a,Ingeniería de Software,5
a,a,a,d,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,c,a,a,a,a,a,b,a,a,e,d,a,d,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,d,a,d,a,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,e,d,Ingeniería de Software,5
a,d,a,a,a,d,a,a,a,a,d,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
b,d,a,a,a,a,a,a,d,a,a,a,a,a,d,d,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,d,a,a,a,a,d,a,a,a,a,a,Ingeniería de Software,5
a,c,a,d,a,a,a,a,a,a,d,a,a,a,a,a,d,c,d,a,Ingeniería de Software,5
a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,d,a,a,a,a,b,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,c,a,a,d,a,a,a,d,b,a,a,Ingeniería de Software,5
a,a,a,a,a,d,a,a,a,e,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,4
d,b,a,a,a,a,a,d,a,a,a,a,d,a,a,a,d,a,a,a,Ingeniería de Software,4
a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,d,a,a,a,a,d,a,a,a,a,d,d,a,a,Ingeniería de Software,5
a,a,a,a,a,a,b,c,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,4
d,a,c,a,a,a,a,a,d,a,a,a,a,d,a,a,b,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,5
a,a,a,e,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,e,a,a,a,a,a,a,d,a,c,d,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,d,a,a,d,a,a,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,d,d,d,a,a,a,a,c,d,a,Ingeniería de Software,5
a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,d,a,e,a,a,a,a,a,a,a,a,a,a,a,a,d,a,d,d,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,d,a,a,e,d,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,e,a,d,e,a,a,a,a,a,d,a,a,d,a,a,b,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,4
a,a,e,a,e,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,Ingeniería de Software,5
a,b,a,a,a,a,a,a,a,a,a,a,a,e,a,a,a,a,a,a,Ingeniería de Software,4
a,a,d,e,a,a,a,a,a,c,a,a,a,a,a,d,a,a,a,a,Ingeniería de Software,5
a,a,d,a,a,e,a,a,a,d,a,a,a,d,a,a,d,a,a,a,Ingeniería de Software,4
a,a,a,a,a,d,a,a,d,a,a,d,a,d,a,a,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,d,c,a,a,d,a,a,a,a,a,a,b,a,a,a,c,a,Ingeniería de Software,5
a,a,a,b,a,a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
e,a,a,a,a,a,a,a,a,d,a,a,a,a,d,d,d,a,a,d,Ingeniería de Software,5
d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,e,a,d,a,a,a,a,a,e,a,a,d,Ingeniería de Software,4
a,a,a,d,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,d,a,a,a,a,a,d,a,d,a,a,a,a,Ingeniería de Software,5
a,a,a,d,a,a,a,a,a,a,d,a,b,a,a,a,a,b,a,a,Ingeniería de Software,5
