P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion
a,d,a,a,d,a,d,a,a,a,a,b,a,a,a,a,a,a,a,d,Ingeniería de Software,3
d,a,a,a,a,d,d,c,a,b,b,d,a,b,d,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,d,d,d,e,a,b,a,d,a,b,a,a,d,d,Ingeniería de Software,5
a,a,a,a,c,a,a,d,a,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5
a,a,c,a,d,a,a,a,e,a,b,d,a,a,c,c,a,a,a,a,Ingeniería de Software,4
d,a,a,e,a,a,a,b,d,c,a,c,a,a,a,d,a,a,a,a,Ingeniería de Software,5
a,a,d,d,a,a,a,b,b,d,d,d,d,a,a,a,a,a,c,d,Ingeniería de Software,5
a,a,c,a,a,e,a,a,a,a,b,a,c,d,d,a,a,a,e,d,Ingeniería de Software,5
a,a,d,d,a,a,a,d,a,d,c,a,d,c,a,a,a,e,d,a,Ingeniería de Software,5
a,a,a,d,d,a,a,d,a,b,a,d,a,a,d,d,a,a,a,d,Ingeniería de Software,5
e,a,d,a,a,a,a,a,d,a,a,d,a,a,d,a,a,d,d,a,Ingeniería de Software,5
a,d,d,a,d,a,d,a,d,e,a,a,e,d,d,a,a,d,a,a,Ingeniería de Software,5
a,d,a,e,a,d,d,d,d,d,d,a,a,a,a,d,a,a,d,c,Ingeniería de Software,4
a,a,d,a,e,a,a,a,a,e,a,a,a,d,c,d,a,d,a,a,Ingeniería de Software,5
d,a,a,a,a,c,b,a,a,c,a,d,a,d,a,a,a,d,a,d,Ingeniería de Software,4
a,e,b,a,d,a,e,a,c,c,a,b,a,a,a,b,a,a,a,d,Ingeniería de Software,4
c,c,a,a,a,d,a,a,d,e,a,a,d,a,a,a,d,d,a,a,Ingeniería de Software,4
b,a,b,d,d,b,d,d,a,a,e,c,a,a,a,a,a,a,a,d,Ingeniería de Software,5
c,a,a,a,a,a,d,a,a,a,d,a,e,e,a,b,a,a,d,a,Ingeniería de Software,4
a,a,a,a,b,c,a,a,a,a,a,d,a,d,b,b,a,a,d,a,Ingeniería de Software,4
a,a,a,d,a,b,d,a,a,c,a,a,a,e,c,d,d,a,a,a,Ingeniería de Software,5
d,a,a,a,b,c,a,a,d,a,a,d,b,a,a,d,a,a,d,a,Ingeniería de Software,5
a,a,b,d,a,a,a,a,a,d,a,a,a,e,a,b,a,a,d,a,Ingeniería de Software,5
a,d,a,d,a,a,a,a,d,a,a,a,d,a,b,d,d,a,a,d,Ingeniería de Software,5
a,c,c,a,a,a,d,a,a,a,d,a,e,a,d,d,a,a,a,d,Ingeniería de Software,4
c,d,a,a,a,a,a,d,d,d,a,a,a,a,a,d,a,a,e,a,Ingeniería de Software,4
a,d,a,a,d,a,d,d,a,a,d,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
d,a,d,a,a,d,a,a,a,a,d,a,a,e,a,d,b,d,a,a,Ingeniería de Software,3
a,a,a,a,d,a,a,a,a,a,a,d,d,e,a,e,d,d,a,a,Ingeniería de Software,4
a,a,a,a,c,d,d,d,d,d,a,a,c,d,e,a,a,a,a,a,Ingeniería de Software,4
a,e,a,a,c,a,a,d,a,d,a,c,d,b,c,a,c,a,a,a,Ingeniería de Software,5
c,a,a,d,a,d,a,d,d,a,a,a,d,a,c,a,a,d,a,a,Ingeniería de Software,5
d,a,e,d,a,d,a,a,a,a,a,d,e,d,a,a,d,a,d,d,Ingeniería de Software,5
a,a,b,d,a,a,a,a,a,a,a,a,a,a,b,a,a,c,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,d,a,a,a,d,d,a,a,a,a,e,b,a,Ingeniería de Software,4
a,d,d,d,a,a,a,d,a,a,a,a,a,a,d,a,e,a,d,b,Ingeniería de Software,5
a,a,a,d,a,d,a,a,a,d,d,d,a,a,d,a,a,a,b,d,Ingeniería de Software,3
a,b,c,c,a,a,a,a,d,b,b,a,a,a,a,a,d,a,a,e,Ingeniería de Software,5
a,d,a,d,a,a,a,a,a,d,d,a,a,a,a,c,a,a,d,a,Ingeniería de Software,4
d,a,b,a,d,a,a,d,a,a,c,a,a,a,a,a,d,a,a,a,Ingeniería de Software,3
a,d,d,a,a,a,d,a,a,c,d,a,d,a,a,c,a,a,a,a,Ingeniería de Software,4
a,d,d,d,a,a,e,d,d,b,d,a,e,a,a,d,d,a,a,a,Ingeniería de Software,3
d,d,a,a,a,d,a,a,d,d,a,d,a,a,d,a,a,d,d,a,Ingeniería de Software,3
b,a,a,b,c,a,a,a,a,a,d,d,a,a,e,d,a,b,a,a,Ingeniería de Software,5
d,d,e,c,a,a,a,a,a,c,a,a,d,d,a,a,d,d,a,d,Ingeniería de Software,4
a,d,a,c,a,d,a,a,b,c,a,a,a,a,a,a,b,a,a,a,Ingeniería de Software,5
a,e,c,d,b,a,a,d,a,a,d,b,a,a,d,e,d,a,d,a,Ingeniería de Software,5
a,a,d,d,a,a,a,a,d,a,c,a,d,a,c,a,a,a,a,d,Ingeniería de Software,5
d,a,a,a,a,a,d,e,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,a,d,c,b,a,a,a,a,d,d,d,a,a,d,a,a,d,b,a,Ingeniería de Software,5
a,a,e,a,a,a,d,e,a,a,d,b,c,a,e,b,d,a,a,b,Ingeniería de Software,4
a,d,a,a,d,a,a,e,a,a,a,a,a,d,d,a,a,e,d,d,Ingeniería de Software,3
d,a,d,a,a,d,a,d,a,a,a,a,a,a,a,a,b,d,d,d,Ingeniería de Software,4
a,d,a,d,a,b,a,a,d,b,a,a,a,c,a,d,a,a,a,a,Ingeniería de Software,5
d,a,e,a,a,a,d,a,a,a,d,a,a,a,a,d,d,a,a,a,Ingeniería de Software,3
a,a,c,a,d,b,d,d,a,a,d,a,a,d,a,c,a,a,d,a,Ingeniería de Software,4
a,a,a,d,d,a,a,a,a,a,d,d,c,d,a,a,a,a,a,c,Ingeniería de Software,4
a,d,a,a,d,a,a,d,d,d,a,d,d,a,a,a,a,a,d,a,Ingeniería de Software,4
a,e,a,a,d,a,a,a,a,a,a,a,a,a,a,d,d,a,d,d,Ingeniería de Software,5
c,a,a,a,a,a,d,b,d,e,a,d,a,d,a,a,a,a,d,d,Ingeniería de Software,5
a,a,d,c,a,a,e,a,e,a,a,a,a,a,d,d,a,a,a,d,Ingeniería de Software,5
a,a,a,a,a,a,d,a,a,a,e,a,a,a,b,d,a,a,a,c,Ingeniería de Software,5
b,a,a,a,a,a,a,a,a,d,d,a,a,a,d,d,c,a,d,d,Ingeniería de Software,5
a,d,b,a,d,a,c,e,d,e,d,a,c,e,e,e,a,a,a,d,Ingeniería de Software,4
a,a,a,a,d,a,a,a,a,d,a,a,d,a,a,b,d,a,a,d,Ingeniería de Software,4
d,a,a,a,d,d,e,a,d,a,a,d,a,a,a,a,a,a,d,a,Ingeniería de Software,5
a,a,a,d,a,e,a,a,a,a,e,a,b,a,d,d,d,a,a,a,Ingeniería de Software,5
a,a,b,a,d,e,d,a,a,a,a,a,a,a,d,d,d,a,a,b,Ingeniería de Software,4
a,a,a,d,a,a,d,a,a,a,a,a,d,a,d,a,a,c,b,a,Ingeniería de Software,5
a,a,a,d,d,a,b,d,a,a,a,d,a,a,b,a,d,a,a,d,Ingeniería de Software,5
b,a,e,a,a,a,a,a,d,b,d,d,a,a,d,d,a,a,a,a,Ingeniería de Software,4
a,a,c,d,a,d,d,b,a,a,d,d,a,e,b,b,d,a,c,a,Ingeniería de Software,5
c,d,a,a,a,a,d,b,c,a,a,a,d,a,e,a,a,a,d,d,Ingeniería de Software,4
d,a,a,e,a,a,a,a,a,b,c,d,a,d,a,a,a,d,a,d,Ingeniería de Software,3
b,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,c,a,c,a,Ingeniería de Software,4
d,a,d,a,a,a,a,d,a,a,a,a,a,d,a,a,d,d,b,a,Ingeniería de Software,4
a,a,a,a,a,a,c,a,b,a,a,a,a,d,a,a,a,e,d,a,Ingeniería de Software,5
b,a,d,a,a,e,e,a,a,d,a,d,a,a,a,a,a,d,a,d,Ingeniería de Software,4
b,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,e,a,Ingeniería de Software,5
a,b,d,a,a,a,a,d,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,3
d,a,d,a,a,a,a,d,a,a,b,a,a,d,e,a,e,a,e,a,Ingeniería de Software,5
a,d,a,a,c,a,a,a,a,a,a,a,d,a,a,d,b,d,a,a,Ingeniería de Software,5
a,c,d,d,a,a,d,a,d,a,d,a,c,a,e,a,d,a,a,d,Ingeniería de Software,4
a,d,a,a,a,b,d,a,d,a,d,b,a,a,d,d,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,e,d,c,e,b,b,a,a,a,a,b,c,a,a,a,Ingeniería de Software,5
d,d,a,a,a,a,d,a,a,d,a,a,a,d,c,a,d,a,a,d,Ingeniería de Software,5
d,a,a,d,a,d,d,a,a,a,a,a,a,a,a,b,d,a,a,d,Ingeniería de Software,5
a,a,d,c,a,c,d,a,d,a,a,a,a,d,a,a,a,d,d,d,Ingeniería de Software,4
d,d,d,d,a,a,d,c,d,d,a,a,a,a,d,a,d,a,a,a,Ingeniería de Software,5
a,a,d,a,a,d,e,d,a,d,a,a,a,a,d,a,d,a,a,c,Ingeniería de Software,4
a,a,a,a,a,a,d,a,b,a,d,a,a,a,a,c,a,a,a,e,Ingeniería de Software,5
a,d,a,a,a,a,a,a,d,a,b,a,d,e,a,b,a,a,e,a,Ingeniería de Software,5
c,d,a,a,a,a,e,e,a,a,a,a,a,a,e,a,a,a,a,a,Ingeniería de Software,5
a,d,a,a,b,d,a,a,e,e,a,d,d,a,a,d,a,a,a,c,Ingeniería de Software,5
d,d,c,a,a,e,a,a,a,d,a,a,d,a,d,d,a,c,d,a,Ingeniería de Software,5
a,a,a,a,d,a,a,a,a,a,a,a,d,a,a,a,b,e,a,a,Ingeniería de Software,3
e,a,a,d,a,a,a,d,a,a,d,c,d,a,a,b,a,a,d,d,Ingeniería de Software,5
d,a,b,e,a,a,a,d,d,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
d,a,a,a,d,a,d,a,a,b,d,d,a,a,d,d,a,d,d,a,Ingeniería de Software,3
a,d,e,a,b,d,d,a,a,d,e,c,d,a,a,b,a,d,a,b,Ingeniería de Software,5
a,c,a,a,d,a,a,a,a,d,d,d,d,a,a,c,a,e,b,a,Ingeniería de Software,5
a,a,d,d,d,a,a,a,a,c,a,d,a,c,d,d,a,a,a,a,Ingeniería de Software,5
a,a,b,d,a,a,a,b,c,a,a,a,a,a,e,e,a,d,a,d,Ingeniería de Software,4
a,d,d,d,d,a,a,a,d,a,e,e,a,e,a,d,d,a,a,a,Ingeniería de Software,4
