Carrera_Target,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
Software,1,3,1,2,1,4,1,1,5,1,3,1,1,3,3,4,4,2,3,2,3,5,2,5,f
Software,3,5,5,4,5,4,3,1,5,4,3,3,1,1,3,3,4,1,2,4,3,3,1,4,a
Software,2,5,1,2,3,3,1,4,3,3,1,3,1,3,5,2,5,3,3,3,1,3,1,4,b
Software,2,4,3,3,2,1,3,3,5,3,3,1,4,3,1,2,1,1,2,2,1,1,2,4,a
Software,3,5,1,3,3,3,4,3,5,4,1,3,1,1,2,2,5,3,3,2,1,3,1,5,a
Software,4,5,2,3,1,2,1,5,4,4,3,1,1,1,1,3,5,5,3,3,4,2,2,5,b
Software,3,3,1,1,5,3,3,3,5,5,1,1,2,1,2,3,5,3,1,1,3,4,2,5,f
Software,1,5,3,3,4,1,1,2,5,3,3,2,3,2,3,1,4,4,1,2,1,2,1,5,a
Software,2,5,1,1,1,1,1,2,5,4,2,2,4,4,3,1,5,5,3,2,1,2,1,5,a
Software,1,3,2,3,3,1,2,1,2,4,1,2,3,1,4,1,3,4,1,3,2,3,2,5,b
Software,3,5,3,1,2,2,1,2,4,5,1,2,2,3,4,1,4,5,2,5,4,3,2,4,f
Software,5,4,3,3,2,2,2,2,4,3,1,1,4,3,4,2,4,2,4,2,1,5,1,3,a
Software,3,4,3,2,1,3,1,1,5,4,1,1,4,3,3,3,5,3,2,3,4,1,3,5,a
Software,4,3,2,3,3,2,1,1,5,3,5,3,2,2,2,4,4,2,2,3,3,3,3,3,a
Software,4,4,2,1,2,2,3,4,4,3,3,3,2,2,5,3,4,1,4,2,2,1,2,5,f
Software,3,5,3,4,2,3,2,2,2,4,2,2,1,2,1,1,4,3,1,3,2,3,1,5,a
Software,1,4,3,1,2,5,1,4,4,4,1,3,4,4,2,1,4,1,3,4,3,2,2,4,a
Software,2,4,2,3,3,2,3,4,4,3,2,1,4,3,1,2,4,2,5,2,3,2,1,5,a
Software,1,4,2,2,3,1,4,2,3,4,1,3,2,3,2,2,5,2,3,2,1,3,2,3,a
Software,2,4,2,1,1,2,1,2,4,5,3,2,1,3,4,4,5,4,4,3,1,2,3,3,a
Software,2,5,1,3,2,1,3,5,4,1,1,2,1,4,3,4,5,3,4,2,2,4,3,4,a
Software,2,4,3,1,2,3,2,3,5,4,1,1,2,1,2,1,5,5,2,2,2,1,3,3,b
Software,1,5,1,5,4,3,2,3,1,5,4,1,1,1,3,3,5,1,2,3,2,2,1,3,a
Software,2,4,1,1,1,3,5,3,5,1,2,1,2,2,3,1,4,4,3,3,2,1,2,5,a
Software,3,5,3,5,4,2,1,2,4,4,2,1,1,2,3,1,4,4,5,2,2,3,2,4,a
Software,3,5,3,2,3,4,4,2,3,5,1,3,1,4,3,4,4,1,2,2,1,1,1,3,b
Software,2,4,1,5,3,3,5,3,4,5,1,1,2,1,2,1,4,4,3,2,3,3,3,4,a
Software,1,3,3,2,2,5,1,4,5,4,5,3,2,2,1,1,4,4,2,4,2,3,1,4,f
Software,2,5,2,3,1,2,4,3,5,5,2,2,1,4,1,2,5,2,1,2,5,2,4,5,f
Software,4,4,4,1,2,1,2,1,5,5,1,2,2,1,2,1,5,5,3,1,3,5,2,4,a
Software,2,5,3,1,5,4,5,1,5,4,2,4,1,2,4,3,3,2,3,2,1,4,2,4,a
Software,3,5,2,2,2,1,3,2,5,5,1,3,3,2,4,1,4,3,4,1,1,2,3,4,a
Software,1,4,4,3,3,1,2,3,3,5,1,5,1,3,4,2,4,3,1,3,2,3,2,5,a
Software,2,5,2,1,1,3,1,3,3,3,2,1,1,2,3,4,4,3,4,1,2,4,2,5,a
Software,2,4,2,1,3,1,5,2,5,4,2,2,1,4,1,1,5,4,1,2,2,3,1,4,a
Software,2,3,2,1,1,1,3,1,3,4,1,5,3,5,3,1,4,1,2,3,3,3,1,2,a
Software,1,4,2,3,2,2,3,2,4,5,3,3,1,2,3,1,5,3,5,2,3,1,2,4,a
Software,3,4,3,3,1,3,1,1,1,5,3,2,3,2,2,1,4,3,2,2,1,3,2,5,a
Software,2,4,2,1,4,3,5,1,5,4,3,2,1,4,3,3,4,2,1,2,5,1,3,3,a
Software,3,3,1,4,1,4,3,3,4,4,3,4,4,1,3,2,4,3,2,1,3,2,3,4,f
Software,4,3,2,1,4,2,1,1,4,4,2,5,2,1,1,1,5,1,2,2,1,2,3,3,b
Software,3,3,1,2,3,4,2,4,5,4,1,1,4,1,5,1,2,2,1,4,2,3,2,5,a
Software,1,3,1,3,3,3,1,1,3,4,3,3,2,2,3,1,4,2,1,3,1,2,1,5,a
Software,1,5,1,2,3,2,3,1,4,4,1,3,3,2,3,1,4,3,2,1,2,3,2,4,a
Software,5,4,1,1,2,3,4,1,4,5,4,2,1,3,1,2,1,5,3,4,2,3,3,4,a
Software,1,4,2,2,1,4,1,1,4,3,3,2,3,5,3,2,4,2,3,4,2,1,4,5,a
Software,3,4,4,1,1,5,2,3,4,4,2,1,2,1,5,4,5,3,1,2,2,4,3,4,f
Software,2,3,2,1,3,2,1,2,3,3,2,2,2,2,3,4,5,1,2,3,1,2,3,4,a
Software,5,5,3,1,2,2,4,2,5,2,2,2,1,1,3,1,1,2,1,1,1,3,3,4,a
Software,4,5,3,3,1,4,2,3,5,2,3,2,3,1,3,3,5,1,4,1,4,1,2,4,a
Software,4,5,3,3,1,2,1,2,5,4,3,2,1,2,2,3,4,1,1,1,2,2,2,4,a
Software,3,4,2,2,4,1,3,1,3,5,1,5,3,1,3,1,3,4,1,2,1,5,2,4,a
Software,3,5,1,1,3,3,1,5,4,5,4,2,1,2,1,1,1,2,3,2,1,1,2,5,f
Software,5,5,1,2,1,3,3,1,4,5,2,4,4,5,3,1,5,1,2,3,4,1,4,3,a
Software,2,4,5,4,3,3,4,2,3,5,3,1,1,1,1,3,3,2,2,1,4,2,1,4,a
Software,3,5,1,4,5,2,1,2,5,4,1,3,4,1,1,2,5,2,3,3,3,3,4,4,a
Software,2,5,3,2,2,1,1,1,5,5,2,1,5,3,3,4,3,1,2,2,3,5,4,4,b
Software,1,5,1,1,2,5,5,1,3,3,2,3,3,1,4,4,5,3,1,1,1,3,2,3,a
Software,1,4,1,2,1,4,2,5,4,4,1,5,5,1,3,1,5,1,2,2,1,2,1,5,a
Software,1,4,2,1,3,3,2,3,5,5,2,2,1,4,1,1,4,5,4,2,1,2,1,4,b
Software,3,4,2,2,2,3,1,3,4,5,4,1,5,1,2,3,4,2,2,4,2,2,5,3,a
Software,3,4,3,1,1,2,3,2,4,4,2,1,3,1,3,2,5,3,3,1,1,1,3,5,a
Software,3,4,4,2,3,1,2,4,4,4,3,1,5,2,5,2,5,2,1,3,1,2,1,4,a
Software,1,4,1,1,3,5,4,2,5,4,1,2,3,2,1,4,4,1,1,1,1,3,3,3,f
Software,1,5,3,4,1,3,1,2,5,2,4,3,3,4,3,2,5,1,4,1,3,3,3,3,a
Software,1,3,3,2,3,1,2,5,3,4,1,1,3,3,2,1,3,1,1,2,2,2,3,5,a
Software,2,4,2,1,1,3,5,4,4,5,2,1,2,1,2,5,3,2,5,1,3,1,2,3,a
Software,3,1,2,2,1,2,1,2,5,4,3,1,3,2,3,5,5,2,2,3,5,1,3,5,a
Software,2,3,1,1,1,1,1,3,3,5,1,4,1,2,4,1,1,3,5,1,1,2,2,3,f
Software,2,4,2,2,4,1,1,3,4,4,2,1,4,1,4,5,4,3,3,1,2,3,2,4,a
Software,2,4,4,2,4,3,1,3,3,3,5,1,2,2,2,1,5,3,5,1,2,2,1,4,a
Software,2,4,4,2,5,2,3,2,5,5,1,2,1,5,2,3,5,2,3,2,2,2,3,5,a
Software,2,3,2,1,3,2,2,2,5,4,4,2,3,3,1,2,5,1,2,2,3,3,4,5,a
Software,3,3,2,1,1,3,3,4,4,4,3,1,2,5,1,1,5,2,2,3,4,1,4,4,f
Software,2,4,1,2,1,2,3,1,2,4,2,4,4,4,2,2,5,3,2,1,1,2,3,4,a
Software,1,3,1,2,1,2,4,2,5,4,4,3,4,2,2,3,2,2,3,4,2,2,3,4,f
Software,3,3,3,1,1,1,1,1,4,3,2,3,2,2,4,3,5,2,3,2,2,2,2,4,f
Software,2,3,1,2,1,3,3,3,5,4,3,1,4,1,1,1,4,3,2,4,2,5,3,5,a
Software,2,1,3,1,1,3,3,1,4,4,5,2,2,2,1,4,4,2,4,2,1,3,2,4,b
Software,1,4,1,3,1,4,3,3,5,3,2,1,5,2,2,3,5,2,1,3,1,3,1,5,a
Software,3,2,4,2,2,1,2,1,4,4,2,1,2,1,1,2,3,2,2,1,1,1,2,5,a
Software,1,4,1,3,4,4,2,1,4,4,1,1,3,1,3,3,5,2,2,2,2,2,2,5,a
Software,1,5,1,1,2,2,2,2,4,3,3,1,2,4,2,3,4,2,4,2,4,1,1,2,f
Software,2,5,2,3,2,2,3,1,4,4,2,2,2,1,3,2,5,2,2,2,3,5,3,4,f
Software,5,4,2,3,1,1,3,2,3,4,3,1,5,1,2,2,4,2,1,1,2,3,2,3,a
Software,2,5,2,2,2,2,2,2,4,4,1,2,5,2,4,4,5,1,1,3,3,3,3,5,a
Software,2,5,2,3,1,1,2,1,4,5,3,1,1,2,1,3,4,1,2,3,2,1,3,4,a
Software,3,5,2,2,1,1,2,1,4,1,5,1,2,2,3,1,5,2,4,2,5,3,1,4,a
Software,1,3,3,1,4,4,3,3,4,3,3,3,2,1,3,3,4,4,2,4,1,3,2,4,a
