P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion
c,e,d,b,e,b,d,b,c,c,d,c,b,e,b,e,b,d,c,e,Ingeniería Industrial,5
a,d,d,a,a,a,d,a,a,a,d,a,a,b,d,d,a,d,a,a,Administración,5
d,d,d,d,d,e,e,a,d,e,e,b,b,c,d,d,b,d,e,a,Administración,5
d,c,c,d,d,a,b,d,d,e,c,d,a,b,e,d,d,b,d,d,Ingeniería Civil,5
c,d,b,d,b,b,c,d,b,b,b,c,b,d,b,b,b,d,d,d,Ingeniería Mecatrónica,5
d,a,d,a,a,a,d,a,a,d,a,d,a,d,d,a,a,b,e,a,Contaduría,5
d,d,d,d,a,d,d,a,d,d,d,b,a,a,d,a,a,d,a,d,Ingeniería Mecánica Eléctrica,5
d,d,d,d,a,a,d,d,d,a,a,d,a,b,e,a,d,b,a,d,Contaduría,5
a,a,b,e,b,d,d,b,d,d,d,e,d,a,a,d,a,a,c,e,Administración,5
a,a,d,a,e,d,d,a,a,d,d,a,d,a,d,c,a,b,e,a,Administración,5
d,d,b,b,e,a,e,d,a,d,b,d,c,b,d,e,a,d,b,d,Ingeniería Mecánica Eléctrica,5
d,d,d,a,d,d,d,a,a,d,c,d,d,a,a,c,d,d,d,a,Ingeniería Mecánica Eléctrica,5
b,e,d,c,b,c,d,b,d,c,e,e,e,b,b,b,c,d,b,e,Gestión y Dirección,5
a,a,a,d,b,e,a,d,d,d,d,a,d,d,d,d,d,b,b,d,Ingeniería Mecatrónica,5
d,b,c,b,b,b,e,d,b,d,d,d,e,b,d,d,b,d,e,c,Administración,5
c,c,d,b,e,d,c,e,d,e,e,e,d,d,e,d,c,d,b,b,Gestión y Dirección,5
d,d,c,a,a,a,a,a,d,a,a,a,d,b,a,d,d,d,d,a,Ingeniería Civil,5
d,b,b,c,d,b,b,e,b,d,c,d,c,c,c,d,b,c,c,e,Ingeniería Mecánica Eléctrica,4
e,e,d,c,b,b,b,c,e,e,b,c,b,e,b,e,c,d,d,b,Gestión y Dirección,5
b,c,a,a,d,e,b,e,b,d,b,a,a,a,a,c,d,b,d,b,Ingeniería de Software,4
a,a,b,d,a,e,c,a,a,a,a,a,d,a,a,a,d,b,e,d,Ingeniería Mecatrónica,5
a,d,e,a,a,a,d,a,a,a,a,a,d,d,d,d,a,b,d,a,Ingeniería Industrial,4
b,b,d,d,d,e,e,d,d,e,c,a,e,b,d,e,b,d,a,c,Contaduría,4
c,b,d,c,b,b,b,c,e,b,b,d,b,e,c,b,c,d,a,e,Contaduría,5
d,a,a,d,d,b,e,b,a,c,d,b,d,a,a,b,a,b,c,d,Ingeniería de Software,4
d,b,d,e,e,d,d,b,d,d,c,c,e,b,b,e,d,d,d,d,Administración,5
e,b,d,c,b,d,b,b,c,e,b,e,e,e,c,e,e,e,d,e,Contaduría,4
c,d,b,d,b,b,b,c,b,c,b,d,e,c,d,d,d,b,b,d,Ingeniería Mecánica Eléctrica,5
a,a,d,a,d,a,b,a,a,b,a,b,d,a,d,a,a,a,d,a,Ingeniería Mecánica Eléctrica,5
d,b,d,b,a,d,e,e,b,d,d,e,e,c,a,c,e,d,d,d,Gestión y Dirección,5
d,a,b,d,a,a,d,d,a,a,d,a,d,a,d,a,a,b,a,a,Ingeniería de Software,4
d,b,e,b,c,c,e,d,c,d,b,c,d,d,b,d,b,c,d,d,Contaduría,5
b,c,b,c,b,b,b,b,b,d,b,d,c,e,b,e,b,a,b,e,Ingeniería Mecatrónica,4
b,d,e,e,d,d,d,e,d,c,a,c,a,c,b,d,b,e,d,e,Ingeniería Industrial,4
b,b,a,c,d,c,b,d,b,d,e,c,b,d,e,c,c,d,d,b,Ingeniería Civil,4
d,d,e,e,d,e,d,b,e,d,a,e,e,b,d,d,d,e,e,d,Ingeniería Industrial,5
b,b,a,b,c,c,e,d,c,c,d,e,b,b,c,b,e,d,b,b,Administración,5
b,d,b,d,b,d,e,d,d,d,e,d,c,d,d,b,d,b,b,a,Ingeniería Civil,4
d,a,a,b,e,e,c,a,d,c,b,d,b,a,b,b,d,b,b,d,Ingeniería de Software,5
d,c,d,c,a,e,d,e,d,e,d,e,e,d,d,e,d,d,b,b,Gestión y Dirección,5
d,b,b,b,b,e,d,b,b,b,b,b,c,c,d,b,c,d,c,b,Gestión y Dirección,5
d,d,a,d,b,e,a,b,d,b,d,a,e,b,b,b,b,b,c,e,Ingeniería Mecatrónica,5
e,c,d,e,d,e,e,e,c,c,e,c,c,b,b,e,b,d,e,b,Administración,5
d,d,d,d,a,d,d,a,b,a,a,c,a,d,e,a,b,c,e,d,Ingeniería Mecánica Eléctrica,5
d,a,d,d,d,b,a,d,a,d,c,b,a,d,a,d,b,c,d,d,Ingeniería Civil,5
c,b,b,b,c,e,d,d,b,e,e,b,e,d,e,c,d,c,a,d,Gestión y Dirección,5
d,a,d,b,d,d,d,d,a,d,a,d,e,d,d,d,d,d,b,a,Ingeniería Civil,5
d,d,a,b,e,d,d,d,d,d,c,a,d,a,d,d,d,d,e,b,Ingeniería Civil,5
d,a,a,e,b,b,d,c,b,e,d,d,e,d,d,c,a,d,d,b,Ingeniería de Software,5
a,a,b,a,a,a,d,a,d,a,d,b,a,a,d,d,b,b,d,a,Ingeniería Mecánica Eléctrica,4
a,d,c,a,a,a,d,a,d,a,a,a,d,a,d,d,a,a,a,a,Contaduría,5
a,d,b,b,c,b,e,c,d,c,b,d,c,b,a,c,d,b,d,b,Ingeniería de Software,5
e,c,d,c,b,b,b,b,e,c,b,d,d,e,e,e,e,e,d,e,Contaduría,5
b,d,d,c,e,b,e,b,b,b,e,c,b,b,b,e,c,d,c,e,Ingeniería Mecánica Eléctrica,5
d,d,b,d,c,d,d,b,b,c,e,d,a,c,d,b,b,e,c,b,Administración,4
a,a,b,a,a,a,a,a,a,a,a,c,a,d,d,a,d,b,d,d,Ingeniería de Software,4
d,b,b,c,d,c,b,d,b,d,b,b,e,e,a,b,d,b,b,b,Ingeniería de Software,4
d,d,d,b,d,a,a,d,d,a,e,b,d,d,d,d,d,d,e,d,Ingeniería Civil,5
d,b,e,d,d,d,d,a,d,a,d,b,a,d,a,c,d,c,e,d,Contaduría,4
d,d,b,d,d,d,d,d,d,d,d,b,d,d,a,c,d,d,d,d,Contaduría,5
b,b,d,e,b,d,d,b,e,c,b,c,b,e,c,d,e,d,b,c,Contaduría,5
e,b,d,c,c,c,b,c,e,c,e,c,c,e,e,e,e,c,d,c,Administración,5
d,e,a,b,b,d,b,d,d,d,c,d,e,d,c,e,d,b,d,d,Ingeniería Mecatrónica,5
e,e,b,e,b,b,b,e,e,c,b,e,b,e,a,b,e,b,c,d,Ingeniería Civil,4
d,b,d,c,b,c,c,b,d,c,d,c,d,d,b,e,b,a,b,d,Administración,5
a,d,c,d,a,d,a,e,a,a,d,a,a,a,d,d,d,b,a,a,Ingeniería Mecatrónica,5
d,a,c,a,b,d,e,e,a,e,d,b,d,d,d,d,c,d,b,d,Ingeniería Mecatrónica,5
d,d,c,b,b,e,e,d,d,e,e,d,a,b,c,c,d,d,d,e,Ingeniería de Software,5
e,e,e,b,b,d,e,e,c,b,d,c,b,e,a,d,e,e,a,c,Ingeniería Industrial,4
d,d,d,a,d,a,d,a,a,d,a,b,d,a,d,a,a,c,d,a,Contaduría,4
b,c,c,b,a,b,d,d,b,a,d,c,d,e,e,d,d,c,d,e,Contaduría,5
d,c,d,e,b,d,b,c,c,d,b,e,b,b,b,b,d,d,c,e,Administración,5
a,c,b,d,a,a,d,d,d,a,a,b,d,d,e,a,c,e,d,d,Administración,5
d,d,d,c,d,d,d,d,b,d,a,e,a,d,d,a,d,e,a,b,Contaduría,5
e,b,d,c,b,c,b,c,e,b,b,e,b,e,c,b,e,b,b,c,Gestión y Dirección,5
a,e,b,d,d,a,d,e,d,c,a,a,c,b,a,e,a,d,b,d,Administración,5
e,d,b,e,d,b,a,b,e,c,c,d,d,c,e,e,c,c,c,e,Contaduría,4
e,e,d,c,b,b,b,c,e,b,e,d,b,e,b,b,e,e,b,c,Gestión y Dirección,5
b,d,d,b,b,b,b,d,e,b,b,b,c,b,b,b,e,a,b,e,Administración,5
b,b,d,b,d,b,c,d,c,b,d,e,d,d,c,d,b,a,d,c,Ingeniería Mecatrónica,5
d,d,d,e,a,d,d,d,b,a,d,d,e,d,e,d,d,d,a,d,Ingeniería Civil,5
d,b,a,d,a,e,e,e,b,c,b,d,d,d,d,c,c,d,d,d,Administración,5
a,b,b,a,b,a,e,d,a,c,b,a,c,d,d,b,d,b,b,d,Ingeniería Mecatrónica,5
d,d,c,d,d,d,b,d,d,d,d,a,c,e,e,d,d,e,d,b,Ingeniería Mecánica Eléctrica,5
a,a,a,d,d,d,d,e,a,a,d,a,d,a,d,c,a,b,c,a,Ingeniería de Software,4
a,b,d,a,d,a,a,a,a,e,d,b,d,d,d,a,a,d,e,a,Ingeniería Mecatrónica,5
b,d,e,e,d,e,d,d,d,e,c,c,d,c,d,d,b,d,d,e,Administración,5
d,d,d,d,d,c,e,b,b,e,c,d,c,c,e,c,c,d,b,b,Ingeniería Mecánica Eléctrica,5
b,d,e,e,b,b,d,e,e,c,c,d,b,b,c,b,c,c,e,e,Gestión y Dirección,5
c,b,e,e,c,c,c,c,e,b,c,e,b,e,c,e,e,e,b,c,Contaduría,4
d,a,b,d,d,e,e,e,d,d,c,d,d,c,d,d,d,c,b,c,Ingeniería Mecatrónica,5
d,e,b,d,c,b,b,e,b,d,d,d,c,b,d,e,d,d,d,d,Contaduría,4
